place name,type of impact,impact place relation,modifier place relation,severity impact relation,item impact relation,tweet text,impact category,geometry
Chile,Dead,Chile dead,,Two dead,people dead,"RT @an_news: Two people confirmed dead and three seriously injured in the #Chile #earthquake, which generated a #tsunami, off the northern …",Death,POINT (-71 -30)
Chile,Burning,Chile burning,off Chile,,restaurant burning,RT @Plan_Prep_Live: A restaurant by the sea shore burning after a powerful 8.2-magnitude #earthquake hit off #Chile's Pacific coast http://…,Other,POINT (-71 -30)
sea shore,Burning,sea shore burning,by the sea shore,,restaurant burning,RT @Plan_Prep_Live: A restaurant by the sea shore burning after a powerful 8.2-magnitude #earthquake hit off #Chile's Pacific coast http://…,Other,POINT (-96.92868 45.1058)
chile,Died,chile died,,8.2 magnitude died,people died,Chile's Interior Minister Rodrigo Penailillo says five people have died in the 8.2 magnitude quake #chilequake,Death,POINT (-71 -30)
Chile,Died,Chile died,,8.2 magnitude died,people died,Chile's Interior Minister Rodrigo Penailillo says five people have died in the 8.2 magnitude quake #chilequake,Death,POINT (-71 -30)
Chile,Dead,Chile dead,,5 dead,,RT @faiya: #PrayForChile «@bbcworldservice Chile's Interior Minister says 5 dead after earthquake. Latest updates on #BBCNewsday http://t.c…,Death,POINT (-71 -30)
Chile,Death,Chile death,,five death,,"The Chile earthquake has been upgraded to 8.2. The death toll has risen to five, and tsunami warnings have been  http://t.co/UzHGLcTLBO",Death,POINT (-71 -30)
Chile,Dead,Chile Dead,,5 Dead,,"Details: Massive 8.2 Quake Rattles #Chile, 5 Dead - JAAG TV http://t.co/8HLEK8JOrX",Death,POINT (-71 -30)
Chile,Dead,Chile dead,,500 dead,,"In the #News at 4: 500 feared dead as earthquake rocks Chile, Landmark High Court Decision on gender definition & a Cat could be back in AFL",Death,POINT (-71 -30)
bolivia,Tsunami,bolivia tsunami,,,,People run into street after feeling 8.2 #earthquake that struck off #Chile. 0430G #938185 #terremoto #peru #latam #amsur #bolivia #tsunami,Other,POINT (-65 -17)
Chile,Deaths,Chile deaths,coast of northern Chile,5 deaths,,RT @NewsSourceLA: #BREAKING: Interior minister: 5 deaths reported in 8.2-magnitude earthquake that hit off coast of northern Chile.,Death,POINT (-71 -30)
Chile,Dead,Chile dead,,5 dead,,"Fallout from #Chile 8.2 quake: 5 dead, tsunami, evacuation of coast, landslides, some fires, & 300 + inmates breaking out of women's prison",Death,POINT (-71 -30)
Chile,Evacuation,Chile evacuation,,,,"Fallout from #Chile 8.2 quake: 5 dead, tsunami, evacuation of coast, landslides, some fires, & 300 + inmates breaking out of women's prison",Other,POINT (-71 -30)
Chile,Tsunami,Chile tsunami,,,,"Fallout from #Chile 8.2 quake: 5 dead, tsunami, evacuation of coast, landslides, some fires, & 300 + inmates breaking out of women's prison",Other,POINT (-71 -30)
Chile,Landslides,Chile landslides,,,,"Fallout from #Chile 8.2 quake: 5 dead, tsunami, evacuation of coast, landslides, some fires, & 300 + inmates breaking out of women's prison",Other,POINT (-71 -30)
Chile,Fires,Chile fires,,some fires,,"Fallout from #Chile 8.2 quake: 5 dead, tsunami, evacuation of coast, landslides, some fires, & 300 + inmates breaking out of women's prison",Fire,POINT (-71 -30)
Chile,Dead,Chile dead,coast of Chile,three dead,people dead,RT @Moneyweb: Magnitude 8.2 #earthquake hits the coast of #Chile. Two people confirmed dead and three seriously injured. http://t.co/fPLiBh…,Death,POINT (-71 -30)
Chile,Injured,Chile injured,coast of Chile,seriously injured,people injured,RT @Moneyweb: Magnitude 8.2 #earthquake hits the coast of #Chile. Two people confirmed dead and three seriously injured. http://t.co/fPLiBh…,Injury,POINT (-71 -30)
Chile,Tremors,Chile tremors,,,fracking injection wells tremors,RT @_B_Ryan: Expect 8.2 Chile earthquake to set off tremors around fracking injection wells. http://t.co/XZWfm3rq3j #cdnpoli #evilendbridge,Other,POINT (-71 -30)
Chile,Death,Chile Death,,5 Death,,via @NOLAnews Death toll at 5 after Chile earthquake; tsunami alert still in effect http://t.co/POIhxjj5WG,Death,POINT (-71 -30)
Chile,Deaths,Chile deaths,off Chile,5 deaths,,5 deaths reported in 8.2-magnitude earthquake that hit off Chile. All tsunami warnings and watches was canceled http://t.co/WMtN0NwPg4,Death,POINT (-71 -30)
Chile,Fires,Chile fires,in northern Chile,,,"RT @jarekkuzniar: Nowe ZDJECIA z #Chile ""@RT_com: Damage & fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…",Fire,POINT (-71 -30)
Chile,Damage,Chile Damage,in northern Chile,,,"RT @jarekkuzniar: Nowe ZDJECIA z #Chile ""@RT_com: Damage & fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…",Damage,POINT (-71 -30)
CHILE,Tsunami,CHILE TSUNAMI,,,,RT @_LePakeh: BREAKING: #TSUNAMI HITS #CHILE CAUSING MASS DESTRUCTION. AFTER MASSIVE 8.2 QUAKE. http://t.co/VhwZ5m7m50,Other,POINT (-71 -30)
CHILE,Destruction,CHILE DESTRUCTION,,MASS DESTRUCTION,,RT @_LePakeh: BREAKING: #TSUNAMI HITS #CHILE CAUSING MASS DESTRUCTION. AFTER MASSIVE 8.2 QUAKE. http://t.co/VhwZ5m7m50,Other,POINT (-71 -30)
Chile,Dead,Chile Dead,Coast Chile,5 Dead,,5 Dead After Powerful Quake Strikes Off Chile's Coast: A powerful earthquake with a preliminary magnitude of 8  http://t.co/Lz57sq3i8K,Death,POINT (-71 -30)
Chile,Tsunami,Chile tsunami,off Chile,,,#latestnews Massive 8.2 earthquake off Chile coast sparks tsunami - Indian Express: Indian ExpressMassive 8.2   http://t.co/OaVFsV2jhs,Other,POINT (-71 -30)
Chile,Kills,Chile kills,off northern coast of Chile,five kills,,"Magnitude-8.2 earthquake off northern coast of Chile kills five, prompts evacuations http://t.co/gK8tgGU7hd",Death,POINT (-71 -30)
Chile,Dead,Chile dead,,5 dead,people dead,"RT @News1130radio: BREAKING Tsunami warnings now cancelled for Chile and Peru, 5 people are confirmed dead after the earthquake",Death,POINT (-71 -30)
Chile,Kills,Chile Kills,North Chile,Five Kills,,#Teamfollowback #RT North Chile Magnitude-8.2 Coastal Earthquake Kills Five - Businessweek http://t.co/Fc42zHcgkE,Death,POINT (-71 -30)
Chile,Kills,Chile Kills,in Chile,5 Kills,,President Cautious as 8.2 Quake Kills 5 in Chile: Chile's President Bachelet cautious on tsunami threat as 8.2 quake kills 5 in north ,Death,POINT (-71 -30)
Chile,Kills,Chile kills,in Chile,8.2 kills,,President Cautious as 8.2 Quake Kills 5 in Chile: Chile's President Bachelet cautious on tsunami threat as 8.2 quake kills 5 in north ,Death,POINT (-71 -30)
Pacific coast,Landfall,Pacific coast landfall,along Pacific coast,,,RT @RoomeeTimes: Chile #Earthquake: Tsunami to make landfall along Pacific coast http://t.co/irCqu0BaGc,Other,POINT (-77.36954 37.02332)
Chile,Tsunami,Chile Tsunami,in Chile,,,"RT @NewIndianXpress: #Tsunami Hits #Chile , 5 Dead in Magnitude-8.2 Quake - http://t.co/eqXxPJVANM #ChileEarthquake",Other,POINT (-71 -30)
Chile,Dead,Chile Dead,in Chile,5 Dead,,"RT @NewIndianXpress: #Tsunami Hits #Chile , 5 Dead in Magnitude-8.2 Quake - http://t.co/eqXxPJVANM #ChileEarthquake",Death,POINT (-71 -30)
Chile,Dead,Chile dead,In Chile,2 dead,people dead,2 Confirmed Dead In Chile After Massive Earthquake Struck: Two people were confirmed dead and three were serio  http://t.co/7clXwlzjXF,Death,POINT (-71 -30)
Chile,Dead,Chile Dead,In Chile,2 Dead,people Dead,2 Confirmed Dead In Chile After Massive Earthquake Struck: Two people were confirmed dead and three were serio  http://t.co/7clXwlzjXF,Death,POINT (-71 -30)
CHILE,Out,CHILE out,off country's shore CHILE,,Electricity out,RT @RT_com: #CHILE: Electricity is out in Iquique as 8.2 earthquake strikes off country's shore http://t.co/fNkmj8l4E2,Other,POINT (-71 -30)
Iquique,Out,Iquique out,off country's shore Iquique,,Electricity out,RT @RT_com: #CHILE: Electricity is out in Iquique as 8.2 earthquake strikes off country's shore http://t.co/fNkmj8l4E2,Other,POINT (-70.15027 -20.21326)
Chile,Killed,Chile killed,,five killed,,"Chile hit by 8.2 magnitude earthquake, five killed - ABC News (Australian Broadcasting Corporation) http://t.co/zXD59mfZj3",Death,POINT (-71 -30)
Chile,Earthquake,Chile Earthquake,,,,"Earthquake in Chile, rumbling volcano in Peru. What is happening in South America? #PrayForChile",Other,POINT (-71 -30)
Peru,Volcano,Peru volcano,,,,"Earthquake in Chile, rumbling volcano in Peru. What is happening in South America? #PrayForChile",Other,POINT (-75.25 -10)
South America,Earthquake,South America Earthquake,,,,"Earthquake in Chile, rumbling volcano in Peru. What is happening in South America? #PrayForChile",Other,POINT (-57.65625 -14.60485)
Chile,Dead,Chile dead,in Chile,5 dead,,Earthquake in Chile. 8.2 on scale and sets off landslides and tsunami.  5 are confirmed dead. We'll have the latest this morning.,Death,POINT (-71 -30)
Chile,Dead,Chile dead,off Chile,5 dead,,Strong earthquake off Chile - 5 dead | apg29 http://t.co/WdhAn8uLhG,Death,POINT (-71 -30)
ile h,Ad A,ile h ad a,,ve d ad a,,RT @myamigo_music: MAIL   Chile hit by tsunami: At least five dead and 300 prison inmates escape as six foot waves triggered by   http:…,Other,POINT (70.17914 -49.57606)
ile h,Cape A,ile h cape a,,0 p cape a,,RT @myamigo_music: MAIL   Chile hit by tsunami: At least five dead and 300 prison inmates escape as six foot waves triggered by   http:…,Other,POINT (70.17914 -49.57606)
Chile,Deaths,Chile deaths,in Chile,5 deaths,,RT @WalterMakaula: 5 deaths in Chile 8.2 earthquake.  Updates throughout the morning @CBSMiami @CBS4SummerK @michaelCBS4,Death,POINT (-71 -30)
Chile,Killing,Chile killing,northern Chile,at least five killing,people killing,"RT @BBCr4today: A quake of 8.2 magnitude has struck off northern Chile, triggering a tsunami alert and killing at least five people. http:/…",Other,POINT (-71 -30)
Chile,Tsunami Alert,Chile tsunami alert,northern Chile,,,"RT @BBCr4today: A quake of 8.2 magnitude has struck off northern Chile, triggering a tsunami alert and killing at least five people. http:/…",Other,POINT (-71 -30)
Chile,Tsunami,Chile tsunami,in Chile,,,Here is an animation of the tsunami generated by that huge earthquake in Chile. Fascinating! http://t.co/dSVTPBJNEG,Other,POINT (-71 -30)
Chile,Injuries,Chile injuries,,no injuries,,RT @WLTX: RT @AP: Chile earthquake magnitude increased to 8.2; no injuries reported yet: http://t.co/WqPW5zDyCS,Injury,POINT (-71 -30)
Chile,Set Free,Chile set free,,300 set free,prisoners set free,Last night's Chile earthquake set free 300 prisoners http://t.co/wJIunezvEH,Other,POINT (-71 -30)
Chile,Dead,Chile dead,,6 dead,people dead,RT @CBSThisMorning: New this morning: At least 6 people are dead after the massive M8.2 quake in #Chile,Death,POINT (-71 -30)
Chile,Earthquake,Chile earthquake,,,,"Eye Opener: A monster earthquake rocks Chile: Also, Congress demands answers from General Motors on why it too  http://t.co/CdMTCrby3o",Other,POINT (-71 -30)
Chile,Fires,Chile fires,,,,RT @RT_com: Reports of fires and looting in #Chile's #Iquique after 8.2 quake http://t.co/fNkmj8l4E2,Fire,POINT (-71 -30)
Iquique,Fires,Iquique fires,,,,RT @RT_com: Reports of fires and looting in #Chile's #Iquique after 8.2 quake http://t.co/fNkmj8l4E2,Fire,POINT (-70.15027 -20.21326)
Iquique,Looting,Iquique looting,,,,RT @RT_com: Reports of fires and looting in #Chile's #Iquique after 8.2 quake http://t.co/fNkmj8l4E2,Other,POINT (-70.15027 -20.21326)
Chile,Looting,Chile looting,,,,RT @RT_com: Reports of fires and looting in #Chile's #Iquique after 8.2 quake http://t.co/fNkmj8l4E2,Other,POINT (-71 -30)
Chile,Death,Chile Death,,six Death,,Death toll climbs to six in Chile earthquake. http://t.co/TyJ2dFpMlM,Death,POINT (-71 -30)
Iquique,Escaped,Iquique escaped,,300 escaped,prisoners escaped,RT @GigiGraciette: BREAKING: @nacioncl reports #Chilean govt confirms 300 prisoners believed to have escaped from jail in #Iquique after #e…,Other,POINT (-70.15027 -20.21326)
Chile,Tsunami,Chile Tsunami,in Chile,,,"RateTake: Tsunami warning lifted, six dead in Chile http://t.co/HOJVSPOSfa",Other,POINT (-71 -30)
Chile,Dead,Chile dead,in Chile,six dead,,"RateTake: Tsunami warning lifted, six dead in Chile http://t.co/HOJVSPOSfa",Death,POINT (-71 -30)
Chile,Dead,Chile dead,,2 dead,,“@CBSNews: JUST IN: 2 reported dead in #ChileEarthquake; 300 inmates escape from women's prison”,Death,POINT (-71 -30)
Chile,Dead,Chile dead,in Chile,5 dead,,Only 5 dead in Chile earthquake. Too bad.,Death,POINT (-71 -30)
Chile,Kills,Chile kills,,5 kills,,"Chile's magnitude 8.2 earthquake kills 5, causes small tsunami; Hawaii evaluating risk http://t.co/ee9mvzPfjV",Death,POINT (-71 -30)
Hawaii,Kills,Hawaii kills,,5 kills,,"Chile's magnitude 8.2 earthquake kills 5, causes small tsunami; Hawaii evaluating risk http://t.co/ee9mvzPfjV",Death,POINT (-156.38612 20.78785)
Chile,Deaths,Chile deaths,northern Chile,6 deaths,,RT @SantiagoTimes: 6 deaths officially reported now from last night's #earthquake in northern #Chile,Death,POINT (-71 -30)
Santiago,Killing,Santiago killing,in Santiago,six killing,people killing,"Powerful earthquake kills 6 in Chile: Santiago, Apr 2 (EFE).- A magnitude-8.2 earthquake hit northern Chile, killing six people, offi ",Other,POINT (-70.64827 -33.45694)
Chile,Killing,Chile killing,in Chile,six killing,people killing,"Powerful earthquake kills 6 in Chile: Santiago, Apr 2 (EFE).- A magnitude-8.2 earthquake hit northern Chile, killing six people, offi ",Other,POINT (-71 -30)
Chile,Kills,Chile kills,in Chile,6 kills,people kills,"Powerful earthquake kills 6 in Chile: Santiago, Apr 2 (EFE).- A magnitude-8.2 earthquake hit northern Chile, killing six people, offi ",Death,POINT (-71 -30)
Iquique,Damages,Iquique damages,far-north Iquique,,,Chile awakens to see 90% of damages post massive earthquake of last night are concentrated in far-north cities of Iquique and Antofagasta. .,Damage,POINT (-70.15027 -20.21326)
Antofagasta,Damages,Antofagasta damages,far-north Antofagasta,,,Chile awakens to see 90% of damages post massive earthquake of last night are concentrated in far-north cities of Iquique and Antofagasta. .,Damage,POINT (-70.3954 -23.65236)
Chile,Damages,Chile damages,far-north Chile,,,Chile awakens to see 90% of damages post massive earthquake of last night are concentrated in far-north cities of Iquique and Antofagasta. .,Damage,POINT (-71 -30)
Chile,Killing,Chile killing,,5 killing,,"8.2 earthquake hits Chile, killing 5 and displacing 80,000  http://t.co/johQMG8lor",Other,POINT (-71 -30)
Chile,Displacing,Chile displacing,,"80,000 displacing",,"8.2 earthquake hits Chile, killing 5 and displacing 80,000  http://t.co/johQMG8lor",Other,POINT (-71 -30)
Peru,Injured,Peru injured,,nine injured,people injured,#Peru's Civil Defence says nine people were injured there as a result of last night's #ChileEarthquake - which also affected Peru &amp; #Bolivia,Injury,POINT (-75.25 -10)
Chile,Injured,Chile injured,,nine injured,people injured,#Peru's Civil Defence says nine people were injured there as a result of last night's #ChileEarthquake - which also affected Peru &amp; #Bolivia,Injury,POINT (-71 -30)
Chile,Deaths,Chile deaths,,5 deaths,,5 deaths have been confirmed in 8.2 magnitude earthquake that hit Chile. #TwitterNewsChat,Death,POINT (-71 -30)
Chile,Kill,Chile kill,,6 kill,,"Chile earthquake, tsunami lead to evacuations, kill 6 - World - CBC News http://t.co/HcpWE2WeFt",Death,POINT (-71 -30)
Chile,Evacuations,Chile evacuations,,,,"Chile earthquake, tsunami lead to evacuations, kill 6 - World - CBC News http://t.co/HcpWE2WeFt",Other,POINT (-71 -30)
Chile,Dead,Chile dead,off the coast of Chile,Six dead,people dead,Mashable :  Six people are dead following the 8.2-magnitude earthquake that struck off the coast of Chile on Tuesday. Chile�??s Interio...,Death,POINT (-71 -30)
Chile,Sirens Sounding,Chile Sirens Sounding,,,,Video Of Sirens Sounding During Chile Earthquake http://t.co/tFWrfB7S04,Other,POINT (-71 -30)
Chile,Damage,Chile damage,,billions of dollars damage,,"How much will the Chile quake cost?: Earthquake damage in Chile could cost the country billions of dollars, a   http://t.co/ScoHvqqmHe",Damage,POINT (-71 -30)
Chile,Cost,Chile cost,,billions of dollars cost,,"How much will the Chile quake cost?: Earthquake damage in Chile could cost the country billions of dollars, a   http://t.co/ScoHvqqmHe",Other,POINT (-71 -30)
Chile,Kills,Chile kills,,6 kills,,Powerful earthquake kills 6 in Chile http://t.co/PA0Rrdb4ax,Death,POINT (-71 -30)
Chile,Forced From Homes,Chile forced from homes,off northern coast of Chile,thousands forced from homes,,"RT @CBCAlerts: At least 5 dead, thousands forced from homes after yesterday's quake off northern coast of #Chile. http://t.co/WD2OM7FGJ4",Other,POINT (-71 -30)
Chile,Dead,Chile dead,off northern coast of Chile,At least 5 dead,,"RT @CBCAlerts: At least 5 dead, thousands forced from homes after yesterday's quake off northern coast of #Chile. http://t.co/WD2OM7FGJ4",Death,POINT (-71 -30)
Chile,Kills,Chile kills,northern Chile,6 kills,,Troops keep order in northern Chile after quake kills 6 - USA TODAY http://t.co/gsIgDtgji2,Death,POINT (-71 -30)
Chile,Damage,Chile damage,in Chile,,,"Earthquake in Chile, is worried. I hope that the damage does not increase.",Damage,POINT (-71 -30)
Chile,Injured,Chile injured,north Chile,three injured,people injured,RT @AJELive: Authorities in #Chile say two people are confirmed dead and three injured in 8.2 magnitude earthquake in country's north [Reut…,Injury,POINT (-71 -30)
Chile,Dead,Chile dead,north Chile,two dead,people dead,RT @AJELive: Authorities in #Chile say two people are confirmed dead and three injured in 8.2 magnitude earthquake in country's north [Reut…,Death,POINT (-71 -30)
Chile,Died,Chile died,coast Chile,sixth died,person died,RT @ABC: UPDATE: A sixth person has died following the earthquake off of Chile's coast http://t.co/DFQ9Hd1i6W,Death,POINT (-71 -30)
Chile,Killing,Chile killing,,6 killing,people killing,#ChileEarthquakeAndTsunami 8.2 magnitude and 2m waves killing 6 people http://t.co/hfOQnyC2Gr,Other,POINT (-71 -30)
Chile,Fires,Chile fires,,,,"RT @RT_com: WRAP-UP: Tsunami hits #Chile following 8.2 earthquake, 5 dead, 80k displaced, damage, fires, aftershocks reported http://t.co/f…",Fire,POINT (-71 -30)
Chile,Dead,Chile dead,,5 dead,,"RT @RT_com: WRAP-UP: Tsunami hits #Chile following 8.2 earthquake, 5 dead, 80k displaced, damage, fires, aftershocks reported http://t.co/f…",Death,POINT (-71 -30)
Chile,Damage,Chile damage,,,,"RT @RT_com: WRAP-UP: Tsunami hits #Chile following 8.2 earthquake, 5 dead, 80k displaced, damage, fires, aftershocks reported http://t.co/f…",Damage,POINT (-71 -30)
Chile,Lost Their Lives,Chile lost their lives,,6 lost their lives,people lost their lives,RT @paulawyd2013: 6 people lost their lives after the 8.2 earthquake in Chile #PrayForChile,Other,POINT (-71 -30)
Latin America,Dead,Latin America Dead,,Six Dead,,DTN Latin America: Six Dead as Magnitude 8.2 Earthquake Hits Northern Chile: Chilean President Michelle Bachel  http://t.co/yCrkPspjaG,Death,POINT (-57.65625 -14.60485)
Chile,Damage,Chile damage,,,,"(#FlakoprettyX7) Chile assesses damage after massive quake, tsunami: By Anthony Esposito and   http://t.co/IklJIqAlQa (#FlakoprettyX7)",Damage,POINT (-71 -30)
Chile,Dead,Chile dead,off coast Chile,2 dead,,"RT @BreakingNews: 2 dead, 3 seriously injured after massive earthquake strikes off coast of Chile, authorities confirm - @Reuters http://t.…",Death,POINT (-71 -30)
Chile,Injured,Chile injured,off coast Chile,3 injured,,"RT @BreakingNews: 2 dead, 3 seriously injured after massive earthquake strikes off coast of Chile, authorities confirm - @Reuters http://t.…",Injury,POINT (-71 -30)
Chile,Tsunami,Chile tsunami,off Chile,,,6 Killed in Earthquake off Northern Chile: The magnitude 8.2 earthquake set off a tsunami and forced an evacua  http://t.co/NIKpeDeRbR,Other,POINT (-71 -30)
Chile,Killed,Chile Killed,off Chile,6 Killed,,6 Killed in Earthquake off Northern Chile: The magnitude 8.2 earthquake set off a tsunami and forced an evacua  http://t.co/NIKpeDeRbR,Death,POINT (-71 -30)
Chile,Toll,Chile toll,,,,Chile's quake toll could have been much worse. Here's why it wasn't http://t.co/Cv52yV9rLg,Other,POINT (-71 -30)
Chile,Tsunami,Chile tsunami,,,,"RT @brigoldenn: 8.2 magnitude earthquake, 6 ft tsunami, and 6 dead #PrayForChile",Other,POINT (-71 -30)
Chile,Dead,Chile dead,,6 dead,,"RT @brigoldenn: 8.2 magnitude earthquake, 6 ft tsunami, and 6 dead #PrayForChile",Death,POINT (-71 -30)
Chile,Tsunami,Chile tsunami,,,,We detected both ground shaking and passage of a tiny tsunami from the #Chile #earthquake. Charts included here: http://t.co/VrrSlW9qSS,Other,POINT (-71 -30)
Chile,Dead,Chile dead,,6 dead,,RT @ABC: 6 dead following major magnitude 8.2 earthquake off Chile; damage being assessed as daybreak comes: http://t.co/a3guGL5TmL,Death,POINT (-71 -30)
Chile,Damage,Chile damage,,,,RT @ABC: 6 dead following major magnitude 8.2 earthquake off Chile; damage being assessed as daybreak comes: http://t.co/a3guGL5TmL,Damage,POINT (-71 -30)
Iquique,Washed Ashore,Iquique washed ashore,in the northern Iquique,,boat washed ashore,"Locals inspect a boat washed ashore by a small tsunami in the northern town of Iquique, Chile, after:  Locals   http://t.co/Ftkmn6fH0l",Other,POINT (-70.15027 -20.21326)
Chile,Tsunami,Chile tsunami,Chilean port city Iquique,7 tsunami,,RT @latimes: Observed tsunami heights reached nearly 7 feet in the Chilean port city of Iquique in the wake of #ChileEarthquake: http://t.c…,Other,POINT (-71 -30)
Iquique,Tsunami,Iquique tsunami,Chilean port city Iquique,7 tsunami,,RT @latimes: Observed tsunami heights reached nearly 7 feet in the Chilean port city of Iquique in the wake of #ChileEarthquake: http://t.c…,Other,POINT (-70.15027 -20.21326)
Chile,Death,Chile death,,5 death,,RT @FoxNews: UPDATE: Chile's interior minister says death toll has risen to 5 after powerful magnitude-8.2 earthquake http://t.co/9LDhdWzAjI,Death,POINT (-71 -30)
Chile,Death,Chile death,,6 death,,Chile earthquake death toll rises to 6 - CNN http://t.co/wuBrnPAslS,Death,POINT (-71 -30)
Chile,Dead,Chile Dead,in Chile,6 Dead,,6 Dead Following Massive Earthquake in Chile http://t.co/8E4lK7EH1Z,Death,POINT (-71 -30)
Chile,Dead,Chile dead,,At least five dead,,RT @BBCWorld: At least five dead in Chile earthquake as tsunami alert prompts coastal evacuation http://t.co/OSJmgkWM1u,Death,POINT (-71 -30)
Chile,Dead,Chile dead,in Chile,Two dead,,RT @NBCNews: Update: Two dead in Chile following quake; tsunami warning remains in effect http://t.co/FqY9PFBu2L,Death,POINT (-71 -30)
Pacific ocean,Tsunami,Pacific ocean tsunami,across Pacific ocean,,,RT @DailyMirror: Incredible video shows tsunami as it spreads across Pacific ocean following Chile earthquake http://t.co/F1sxMQTJnw http:/�??,Other,POINT (-130 -45)
Chile,Tsunami,Chile tsunami,off Chile,,,"RT @WorldVisionLAC: Earthquake off Chile's coast: 6 deaths, a tsunami, and 300 prisoners escaping Iquique's prison @WorldVisionNews @WorldV…",Other,POINT (-71 -30)
Chile,Deaths,Chile deaths,off Chile,6 deaths,,"RT @WorldVisionLAC: Earthquake off Chile's coast: 6 deaths, a tsunami, and 300 prisoners escaping Iquique's prison @WorldVisionNews @WorldV…",Death,POINT (-71 -30)
Chile,Chaotic Situation,Chile chaotic situation,,,,RT @NewsBreaker: RAW VIDEO: Amateur video from Chile shows a chaotic situation when an earthquake struck http://t.co/xEVMj1WXHc - @AP,Other,POINT (-71 -30)
Chile,Damage,Chile damage,,,,"Chile earthquake: How loss of life, damage was minimized http://t.co/dP1wIe4oGG",Damage,POINT (-71 -30)
Chile,Escaped,Chile escaped,in Chile,300 escaped,prisoners escaped,"RT @PzFeed: ALERT: Chilean government hunt 300 prisoners who have escaped from jail in Iquique, Chile after massive earthquake.",Other,POINT (-71 -30)
Iquique,Escaped,Iquique escaped,in Iquique,300 escaped,prisoners escaped,"RT @PzFeed: ALERT: Chilean government hunt 300 prisoners who have escaped from jail in Iquique, Chile after massive earthquake.",Other,POINT (-70.15027 -20.21326)
Chile,Seriously Injured,Chile Seriously Injured,,Several Seriously Injured,,"Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg",Other,POINT (-71 -30)
Chile,Dead,Chile Dead,,5 Dead,,"Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg",Death,POINT (-71 -30)
Chile,Disaster,Chile Disaster,Off Chile,,,"Powerful Earthquake Hits Off Chile, Triggers Tsunami - Disaster Declared After Chile Quake - 2 April  http://t.co/gh6EZ6GVPw",Other,POINT (-71 -30)
Chile,Triggers Tsunami,Chile Triggers Tsunami,Off Chile,,,"Powerful Earthquake Hits Off Chile, Triggers Tsunami - Disaster Declared After Chile Quake - 2 April  http://t.co/gh6EZ6GVPw",Other,POINT (-71 -30)
Chile,Casualties,Chile casualties,,,,"How Chile has managed to minimize earthquake casualties, damage http://t.co/VS5QCN6YyP",Other,POINT (-71 -30)
Chile,Damage,Chile damage,,,,"How Chile has managed to minimize earthquake casualties, damage http://t.co/VS5QCN6YyP",Damage,POINT (-71 -30)
Iquique,Sunk,Iquique sunk,in Iquique,,boats sunk,RT @Garreton: Bachelet ordered his minister of economy to meet with inshore fishers in Iquique whose boats sunk or were put on land by 2.5M…,Other,POINT (-70.15027 -20.21326)
Iquique,Put On Land,Iquique put on land,in Iquique,,,RT @Garreton: Bachelet ordered his minister of economy to meet with inshore fishers in Iquique whose boats sunk or were put on land by 2.5M…,Other,POINT (-70.15027 -20.21326)
Chile,Kill,Chile kill,,,Chileans kill,RT @PIA_INCA: REALLY?!!! While the world says #PrayForChile in Argentina are tweeting  #MuerteAChilenos (kill Chileans) that's crazy!!!,Death,POINT (-71 -30)
Chile,Dead,Chile dead,,6 dead,people dead,"RT @northemmosphere: #PrayForChile guys. They're hit by a very strong earthquake yesterday. So far, 6 people are dead.",Death,POINT (-71 -30)
Japan,Tsunami,Japan tsunami,,1.3 feet tsunami,,RT @weatherchannel: Small #tsunami (0.3 to 1.3 feet) reported at 9 locations in Japan in past hour from Chile quake. Advisory continues. ht…,Other,POINT (139.75309 35.68536)
Chile,Crack,Chile crack,,,road crack,Check out this crack in the road from the #ChileEarthquake yesterday. #Tsunami MT @migpriego Mientras tanto en #Chile http://t.co/eEX3kJK2Xm,Other,POINT (-71 -30)
Chile,Damage,Chile Damage,,,,ESO Telescopes Escape Damage From Chile Earthquake http://t.co/B44PJFJWGN #Always #Current #yycwalks,Damage,POINT (-71 -30)
Chile,Earthquake,Chile earthquake,,8.3 earthquake,,RT [http://t.co/4yb7mjubCE] #VIDEO. Account of what happened by the 8.3 earthquake in Chile,Other,POINT (-71 -30)
Chile,Earthquake,Chile Earthquake,,Huge Earthquake,,Huge Aftershock Earthquake Strikes Chile http://t.co/y7bqTO30S5,Other,POINT (-71 -30)
Chile,Panic,Chile panic,,,Diners panic,SEE IT: Diners panic as magnitude-8.2 earthquake rocks Chile http://t.co/gLim7td4xM,Other,POINT (-71 -30)
Iquique,Out,Iquique out,in Iquique,,electricity out,RT @GigiGraciette: 6.3 #earthquake - aftershock off coast of #Chile. Shallow; felt strongly. Reports electricity out in #Iquique http://t.c�??,Other,POINT (-70.15027 -20.21326)
Japan,Tsunami,Japan Tsunami,,,,#newsofindia Tsunami waves hit Japan after Chile quake - Daily News & Analysis: Irish Independen  http://t.co/T46nDwJdwz .. check out!,Other,POINT (139.75309 35.68536)
Japan,Waves,Japan waves,,,,#newsofindia Tsunami waves hit Japan after Chile quake - Daily News & Analysis: Irish Independen  http://t.co/T46nDwJdwz .. check out!,Other,POINT (139.75309 35.68536)
